Author Id,F1 score
0,0.6666666666666666
1,0.6956521739130435
2,0.6666666666666667
3,0.625
4,0.9
5,0.8333333333333334
6,0.5416666666666667
7,0.6808510638297872
8,0.631578947368421
9,0.8125
10,0.7945205479452055
11,0.7659574468085107
12,0.6865671641791045
13,0.6486486486486486
14,0.5333333333333333
15,0.7586206896551724
16,0.8679245283018867
17,0.7647058823529413
18,0.3333333333333333
19,0.6666666666666666
20,0.5
21,0.7179487179487181
22,0.608695652173913
23,0.631578947368421
24,0.5882352941176471
25,0.7076923076923076
26,0.7301587301587302
27,0.8108108108108109
28,0.3703703703703703
29,0.8148148148148148
30,0.8823529411764706
31,0.7659574468085107
32,0.6976744186046512
33,0.8799999999999999
34,0.5454545454545455
35,0.7999999999999999
36,0.7419354838709677
37,0.711111111111111
38,0.8648648648648648
39,0.7857142857142857
40,0.8571428571428571
41,0.6792452830188679
42,0.6428571428571429
43,0.8484848484848484
44,0.7857142857142857
45,0.8
46,0.7333333333333334
47,0.9367088607594938
48,0.6363636363636364
49,0.64
50,0.8148148148148148
51,0.42857142857142855
52,0.6666666666666665
53,0.7160493827160493
54,0.6
55,0.8571428571428572
56,0.7826086956521738
57,0.8333333333333334
58,0.5925925925925926
59,0.7307692307692307
60,0.7499999999999999
61,0.8095238095238095
62,0.3636363636363636
63,0.8148148148148148
64,0.7857142857142857
65,0.6666666666666666
66,0.6666666666666665
67,0.7199999999999999
68,0.761904761904762
69,0.6857142857142857
70,0.9166666666666666
71,0.37499999999999994
72,0.7878787878787877
73,0.6666666666666667
74,0.631578947368421
75,0.761904761904762
76,0.7000000000000001
77,0.72
78,0.8571428571428572
79,0.8421052631578947
80,0.588235294117647
81,0.48
82,0.7096774193548386
83,0.68
84,0.8085106382978724
85,0.918918918918919
86,0.5454545454545454
87,0.7027027027027027
88,0.823529411764706
89,0.625
90,0.8780487804878048
91,0.7692307692307693
92,0.8387096774193549
93,0.7499999999999999
94,0.7826086956521738
95,0.6956521739130435
96,0.8571428571428572
97,0.7999999999999999
98,0.7586206896551724
99,0.2857142857142857
average,71.19330621791855
